Referenzstring|Style|Literaturtyp|BibTeX
"Chen, J., Tam, D., Raffel, C., Bansal, M., & Yang, D. 2023. ""An Empirical Survey of Data Augmentation for Limited Data Learning in NLP"". Transactions of the Association for Computational Linguistics, 11: 191–211. URL: https://aclanthology.org/2023.tacl-1.12, doi:10.1162/tacl_a_00542.
"|harvard|article|"@article{chen-etal-2023-empirical,
    title = ""An Empirical Survey of Data Augmentation for Limited Data Learning in {NLP}"",
    author = ""Chen, Jiaao  and
      Tam, Derek  and
      Raffel, Colin  and
      Bansal, Mohit  and
      Yang, Diyi"",
    journal = ""Transactions of the Association for Computational Linguistics"",
    volume = ""11"",
    year = ""2023"",
    address = ""Cambridge, MA"",
    publisher = ""MIT Press"",
    url = ""https://aclanthology.org/2023.tacl-1.12"",
    doi = ""10.1162/tacl_a_00542"",
    pages = ""191--211"",
}
"
"Bohnet, B., Alberti, C., & Collins, M. 2023. ""Coreference Resolution through a seq2seq Transition-Based System"". Transactions of the Association for Computational Linguistics, 11: 212–226. URL: https://aclanthology.org/2023.tacl-1.13, doi:10.1162/tacl_a_00543.
"|harvard|article|"@article{bohnet-etal-2023-coreference,
    title = ""Coreference Resolution through a seq2seq Transition-Based System"",
    author = ""Bohnet, Bernd  and
      Alberti, Chris  and
      Collins, Michael"",
    journal = ""Transactions of the Association for Computational Linguistics"",
    volume = ""11"",
    year = ""2023"",
    address = ""Cambridge, MA"",
    publisher = ""MIT Press"",
    url = ""https://aclanthology.org/2023.tacl-1.13"",
    doi = ""10.1162/tacl_a_00543"",
    pages = ""212--226"",
}
"
"Badaro, G., Saeed, M., & Papotti, P. 2023. ""Transformers for Tabular Data Representation: A Survey of Models and Applications"". Transactions of the Association for Computational Linguistics, 11: 227–249. URL: https://aclanthology.org/2023.tacl-1.14, doi:10.1162/tacl_a_00544.
"|harvard|article|"@article{badaro-etal-2023-transformers,
    title = ""Transformers for Tabular Data Representation: A Survey of Models and Applications"",
    author = ""Badaro, Gilbert  and
      Saeed, Mohammed  and
      Papotti, Paolo"",
    journal = ""Transactions of the Association for Computational Linguistics"",
    volume = ""11"",
    year = ""2023"",
    address = ""Cambridge, MA"",
    publisher = ""MIT Press"",
    url = ""https://aclanthology.org/2023.tacl-1.14"",
    doi = ""10.1162/tacl_a_00544"",
    pages = ""227--249"",
}
"
"Nguyen, T. A., Kharitonov, E., Copet, J., Adi, Y., Hsu, W.-N., Elkahky, A., Tomasello, P., Algayres, R., Sagot, B., Mohamed, A., & Dupoux, E. 2023. ""Generative Spoken Dialogue Language Modeling"". Transactions of the Association for Computational Linguistics, 11: 250–266. URL: https://aclanthology.org/2023.tacl-1.15, doi:10.1162/tacl_a_00545.
"|harvard|article|"@article{nguyen-etal-2023-generative,
    title = ""Generative Spoken Dialogue Language Modeling"",
    author = ""Nguyen, Tu Anh  and
      Kharitonov, Eugene  and
      Copet, Jade  and
      Adi, Yossi  and
      Hsu, Wei-Ning  and
      Elkahky, Ali  and
      Tomasello, Paden  and
      Algayres, Robin  and
      Sagot, Beno{\^\i}t  and
      Mohamed, Abdelrahman  and
      Dupoux, Emmanuel"",
    journal = ""Transactions of the Association for Computational Linguistics"",
    volume = ""11"",
    year = ""2023"",
    address = ""Cambridge, MA"",
    publisher = ""MIT Press"",
    url = ""https://aclanthology.org/2023.tacl-1.15"",
    doi = ""10.1162/tacl_a_00545"",
    pages = ""250--266"",
}
"
"Chen, Z. & Komachi, M. 2023. ""Discontinuous Combinatory Constituency Parsing"". Transactions of the Association for Computational Linguistics, 11: 267–283. URL: https://aclanthology.org/2023.tacl-1.16, doi:10.1162/tacl_a_00546.
"|harvard|article|"@article{chen-komachi-2023-discontinuous,
    title = ""Discontinuous Combinatory Constituency Parsing"",
    author = ""Chen, Zhousi  and
      Komachi, Mamoru"",
    journal = ""Transactions of the Association for Computational Linguistics"",
    volume = ""11"",
    year = ""2023"",
    address = ""Cambridge, MA"",
    publisher = ""MIT Press"",
    url = ""https://aclanthology.org/2023.tacl-1.16"",
    doi = ""10.1162/tacl_a_00546"",
    pages = ""267--283"",
}
"
"Ivgi, M., Shaham, U., & Berant, J. 2023. ""Efficient Long-Text Understanding with Short-Text Models"". Transactions of the Association for Computational Linguistics, 11: 284–299. URL: https://aclanthology.org/2023.tacl-1.17, doi:10.1162/tacl_a_00547.
"|harvard|article|"@article{ivgi-etal-2023-efficient,
    title = ""Efficient Long-Text Understanding with Short-Text Models"",
    author = ""Ivgi, Maor  and
      Shaham, Uri  and
      Berant, Jonathan"",
    journal = ""Transactions of the Association for Computational Linguistics"",
    volume = ""11"",
    year = ""2023"",
    address = ""Cambridge, MA"",
    publisher = ""MIT Press"",
    url = ""https://aclanthology.org/2023.tacl-1.17"",
    doi = ""10.1162/tacl_a_00547"",
    pages = ""284--299"",
}
"
"Davani, A. M., Atari, M., Kennedy, B., & Dehghani, M. 2023. ""Hate Speech Classifiers Learn Normative Social Stereotypes"". Transactions of the Association for Computational Linguistics, 11: 300–319. URL: https://aclanthology.org/2023.tacl-1.18, doi:10.1162/tacl_a_00550.
"|harvard|article|"@article{davani-etal-2023-hate,
    title = ""Hate Speech Classifiers Learn Normative Social Stereotypes"",
    author = ""Davani, Aida Mostafazadeh  and
      Atari, Mohammad  and
      Kennedy, Brendan  and
      Dehghani, Morteza"",
    journal = ""Transactions of the Association for Computational Linguistics"",
    volume = ""11"",
    year = ""2023"",
    address = ""Cambridge, MA"",
    publisher = ""MIT Press"",
    url = ""https://aclanthology.org/2023.tacl-1.18"",
    doi = ""10.1162/tacl_a_00550"",
    pages = ""300--319"",
}
"
"Lassner, D., Brandl, S., Baillot, A., & Nakajima, S. 2023. ""Domain-Specific Word Embeddings with Structure Prediction"". Transactions of the Association for Computational Linguistics, 11: 320–335. URL: https://aclanthology.org/2023.tacl-1.19, doi:10.1162/tacl_a_00538.
"|harvard|article|"@article{lassner-etal-2023-domain,
    title = ""Domain-Specific Word Embeddings with Structure Prediction"",
    author = ""Lassner, David  and
      Brandl, Stephanie  and
      Baillot, Anne  and
      Nakajima, Shinichi"",
    journal = ""Transactions of the Association for Computational Linguistics"",
    volume = ""11"",
    year = ""2023"",
    address = ""Cambridge, MA"",
    publisher = ""MIT Press"",
    url = ""https://aclanthology.org/2023.tacl-1.19"",
    doi = ""10.1162/tacl_a_00538"",
    pages = ""320--335"",
}
"
"Oh, B.-D. & Schuler, W. 2023. ""Why Does Surprisal From Larger Transformer-Based Language Models Provide a Poorer Fit to Human Reading Times?"". Transactions of the Association for Computational Linguistics, 11: 336–350. URL: https://aclanthology.org/2023.tacl-1.20, doi:10.1162/tacl_a_00548.
"|harvard|article|"@article{oh-schuler-2023-surprisal,
    title = ""Why Does Surprisal From Larger Transformer-Based Language Models Provide a Poorer Fit to Human Reading Times?"",
    author = ""Oh, Byung-Doh  and
      Schuler, William"",
    journal = ""Transactions of the Association for Computational Linguistics"",
    volume = ""11"",
    year = ""2023"",
    address = ""Cambridge, MA"",
    publisher = ""MIT Press"",
    url = ""https://aclanthology.org/2023.tacl-1.20"",
    doi = ""10.1162/tacl_a_00548"",
    pages = ""336--350"",
}
"
"Gekhman, Z., Oved, N., Keller, O., Szpektor, I., & Reichart, R. 2023. ""On the Robustness of Dialogue History Representation in Conversational Question Answering: A Comprehensive Study and a New Prompt-based Method"". Transactions of the Association for Computational Linguistics, 11: 351–366. URL: https://aclanthology.org/2023.tacl-1.21, doi:10.1162/tacl_a_00549.
"|harvard|article|"@article{gekhman-etal-2023-robustness,
    title = ""On the Robustness of Dialogue History Representation in Conversational Question Answering: A Comprehensive Study and a New Prompt-based Method"",
    author = ""Gekhman, Zorik  and
      Oved, Nadav  and
      Keller, Orgad  and
      Szpektor, Idan  and
      Reichart, Roi"",
    journal = ""Transactions of the Association for Computational Linguistics"",
    volume = ""11"",
    year = ""2023"",
    address = ""Cambridge, MA"",
    publisher = ""MIT Press"",
    url = ""https://aclanthology.org/2023.tacl-1.21"",
    doi = ""10.1162/tacl_a_00549"",
    pages = ""351--366"",
}
"
"Niu, Y., Huang, F., Liu, W., Cui, J., Wang, B., & Huang, M. 2023. ""Bridging the Gap between Synthetic and Natural Questions via Sentence Decomposition for Semantic Parsing"". Transactions of the Association for Computational Linguistics, 11: 367–383. URL: https://aclanthology.org/2023.tacl-1.22, doi:10.1162/tacl_a_00552.
"|harvard|article|"@article{niu-etal-2023-bridging,
    title = ""Bridging the Gap between Synthetic and Natural Questions via Sentence Decomposition for Semantic Parsing"",
    author = ""Niu, Yilin  and
      Huang, Fei  and
      Liu, Wei  and
      Cui, Jianwei  and
      Wang, Bin  and
      Huang, Minlie"",
    journal = ""Transactions of the Association for Computational Linguistics"",
    volume = ""11"",
    year = ""2023"",
    address = ""Cambridge, MA"",
    publisher = ""MIT Press"",
    url = ""https://aclanthology.org/2023.tacl-1.22"",
    doi = ""10.1162/tacl_a_00552"",
    pages = ""367--383"",
}
"
"Amini, A., Pimentel, T., Meister, C., & Cotterell, R. 2023. ""Naturalistic Causal Probing for Morpho-Syntax"". Transactions of the Association for Computational Linguistics, 11: 384–403. URL: https://aclanthology.org/2023.tacl-1.23, doi:10.1162/tacl_a_00554.
"|harvard|article|"@article{amini-etal-2023-naturalistic,
    title = ""Naturalistic Causal Probing for Morpho-Syntax"",
    author = ""Amini, Afra  and
      Pimentel, Tiago  and
      Meister, Clara  and
      Cotterell, Ryan"",
    journal = ""Transactions of the Association for Computational Linguistics"",
    volume = ""11"",
    year = ""2023"",
    address = ""Cambridge, MA"",
    publisher = ""MIT Press"",
    url = ""https://aclanthology.org/2023.tacl-1.23"",
    doi = ""10.1162/tacl_a_00554"",
    pages = ""384--403"",
}
"
"Zhao, R., Gui, L., Yan, H., & He, Y. 2023. ""Tracking Brand-Associated Polarity-Bearing Topics in User Reviews"". Transactions of the Association for Computational Linguistics, 11: 404–418. URL: https://aclanthology.org/2023.tacl-1.24, doi:10.1162/tacl_a_00555.
"|harvard|article|"@article{zhao-etal-2023-tracking,
    title = ""Tracking Brand-Associated Polarity-Bearing Topics in User Reviews"",
    author = ""Zhao, Runcong  and
      Gui, Lin  and
      Yan, Hanqi  and
      He, Yulan"",
    journal = ""Transactions of the Association for Computational Linguistics"",
    volume = ""11"",
    year = ""2023"",
    address = ""Cambridge, MA"",
    publisher = ""MIT Press"",
    url = ""https://aclanthology.org/2023.tacl-1.24"",
    doi = ""10.1162/tacl_a_00555"",
    pages = ""404--418"",
}
"
"Brannon, W., Virkar, Y., & Thompson, B. 2023. ""Dubbing in Practice: A Large Scale Study of Human Localization With Insights for Automatic Dubbing"". Transactions of the Association for Computational Linguistics, 11: 419–435. URL: https://aclanthology.org/2023.tacl-1.25, doi:10.1162/tacl_a_00551.
"|harvard|article|"@article{brannon-etal-2023-dubbing,
    title = ""Dubbing in Practice: A Large Scale Study of Human Localization With Insights for Automatic Dubbing"",
    author = ""Brannon, William  and
      Virkar, Yogesh  and
      Thompson, Brian"",
    journal = ""Transactions of the Association for Computational Linguistics"",
    volume = ""11"",
    year = ""2023"",
    address = ""Cambridge, MA"",
    publisher = ""MIT Press"",
    url = ""https://aclanthology.org/2023.tacl-1.25"",
    doi = ""10.1162/tacl_a_00551"",
    pages = ""419--435"",
}
"
"Lin, S.-C., Li, M., & Lin, J. 2023. ""Aggretriever: A Simple Approach to Aggregate Textual Representations for Robust Dense Passage Retrieval"". Transactions of the Association for Computational Linguistics, 11: 436–452. URL: https://aclanthology.org/2023.tacl-1.26, doi:10.1162/tacl_a_00556.
"|harvard|article|"@article{lin-etal-2023-aggretriever,
    title = ""Aggretriever: A Simple Approach to Aggregate Textual Representations for Robust Dense Passage Retrieval"",
    author = ""Lin, Sheng-Chieh  and
      Li, Minghan  and
      Lin, Jimmy"",
    journal = ""Transactions of the Association for Computational Linguistics"",
    volume = ""11"",
    year = ""2023"",
    address = ""Cambridge, MA"",
    publisher = ""MIT Press"",
    url = ""https://aclanthology.org/2023.tacl-1.26"",
    doi = ""10.1162/tacl_a_00556"",
    pages = ""436--452"",
}
"
"Wu, Z., Parish, R., Cheng, H., Min, S., Ammanabrolu, P., Ostendorf, M., & Hajishirzi, H. 2023. ""InSCIt: Information-Seeking Conversations with Mixed-Initiative Interactions"". Transactions of the Association for Computational Linguistics, 11: 453–468. URL: https://aclanthology.org/2023.tacl-1.27, doi:10.1162/tacl_a_00559.
"|harvard|article|"@article{wu-etal-2023-inscit,
    title = ""{I}n{SCI}t: Information-Seeking Conversations with Mixed-Initiative Interactions"",
    author = ""Wu, Zeqiu  and
      Parish, Ryu  and
      Cheng, Hao  and
      Min, Sewon  and
      Ammanabrolu, Prithviraj  and
      Ostendorf, Mari  and
      Hajishirzi, Hannaneh"",
    journal = ""Transactions of the Association for Computational Linguistics"",
    volume = ""11"",
    year = ""2023"",
    address = ""Cambridge, MA"",
    publisher = ""MIT Press"",
    url = ""https://aclanthology.org/2023.tacl-1.27"",
    doi = ""10.1162/tacl_a_00559"",
    pages = ""453--468"",
}
"
"Si, C., Zhang, Z., Chen, Y., Qi, F., Wang, X., Liu, Z., Wang, Y., Liu, Q., & Sun, M. 2023. ""Sub-Character Tokenization for Chinese Pretrained Language Models"". Transactions of the Association for Computational Linguistics, 11: 469–487. URL: https://aclanthology.org/2023.tacl-1.28, doi:10.1162/tacl_a_00560.
"|harvard|article|"@article{si-etal-2023-sub,
    title = ""Sub-Character Tokenization for {C}hinese Pretrained Language Models"",
    author = ""Si, Chenglei  and
      Zhang, Zhengyan  and
      Chen, Yingfa  and
      Qi, Fanchao  and
      Wang, Xiaozhi  and
      Liu, Zhiyuan  and
      Wang, Yasheng  and
      Liu, Qun  and
      Sun, Maosong"",
    journal = ""Transactions of the Association for Computational Linguistics"",
    volume = ""11"",
    year = ""2023"",
    address = ""Cambridge, MA"",
    publisher = ""MIT Press"",
    url = ""https://aclanthology.org/2023.tacl-1.28"",
    doi = ""10.1162/tacl_a_00560"",
    pages = ""469--487"",
}
"
"Shao, S., Ziser, Y., & Cohen, S. B. 2023. ""Erasure of Unaligned Attributes from Neural Representations"". Transactions of the Association for Computational Linguistics, 11: 488–510. URL: https://aclanthology.org/2023.tacl-1.29, doi:10.1162/tacl_a_00558.
"|harvard|article|"@article{shao-etal-2023-erasure,
    title = ""Erasure of Unaligned Attributes from Neural Representations"",
    author = ""Shao, Shun  and
      Ziser, Yftah  and
      Cohen, Shay B."",
    journal = ""Transactions of the Association for Computational Linguistics"",
    volume = ""11"",
    year = ""2023"",
    address = ""Cambridge, MA"",
    publisher = ""MIT Press"",
    url = ""https://aclanthology.org/2023.tacl-1.29"",
    doi = ""10.1162/tacl_a_00558"",
    pages = ""488--510"",
}
"
"Feng, T., Qu, L., & Haffari, G. 2023. ""Less is More: Mitigate Spurious Correlations for Open-Domain Dialogue Response Generation Models by Causal Discovery"". Transactions of the Association for Computational Linguistics, 11: 511–530. URL: https://aclanthology.org/2023.tacl-1.30, doi:10.1162/tacl_a_00561.
"|harvard|article|"@article{feng-etal-2023-less,
    title = ""Less is More: Mitigate Spurious Correlations for Open-Domain Dialogue Response Generation Models by Causal Discovery"",
    author = ""Feng, Tao  and
      Qu, Lizhen  and
      Haffari, Gholamreza"",
    journal = ""Transactions of the Association for Computational Linguistics"",
    volume = ""11"",
    year = ""2023"",
    address = ""Cambridge, MA"",
    publisher = ""MIT Press"",
    url = ""https://aclanthology.org/2023.tacl-1.30"",
    doi = ""10.1162/tacl_a_00561"",
    pages = ""511--530"",
}
"
"Merrill, W. & Sabharwal, A. 2023. ""The Parallelism Tradeoff: Limitations of Log-Precision Transformers"". Transactions of the Association for Computational Linguistics, 11: 531–545. URL: https://aclanthology.org/2023.tacl-1.31, doi:10.1162/tacl_a_00562.
"|harvard|article|"@article{merrill-sabharwal-2023-parallelism,
    title = ""The Parallelism Tradeoff: Limitations of Log-Precision Transformers"",
    author = ""Merrill, William  and
      Sabharwal, Ashish"",
    journal = ""Transactions of the Association for Computational Linguistics"",
    volume = ""11"",
    year = ""2023"",
    address = ""Cambridge, MA"",
    publisher = ""MIT Press"",
    url = ""https://aclanthology.org/2023.tacl-1.31"",
    doi = ""10.1162/tacl_a_00562"",
    pages = ""531--545"",
}
"
"Xu, W., Agrawal, S., Briakou, E., Martindale, M. J., & Carpuat, M. 2023. ""Understanding and Detecting Hallucinations in Neural Machine Translation via Model Introspection"". Transactions of the Association for Computational Linguistics, 11: 546–564. URL: https://aclanthology.org/2023.tacl-1.32, doi:10.1162/tacl_a_00563.
"|harvard|article|"@article{xu-etal-2023-understanding,
    title = ""Understanding and Detecting Hallucinations in Neural Machine Translation via Model Introspection"",
    author = ""Xu, Weijia  and
      Agrawal, Sweta  and
      Briakou, Eleftheria  and
      Martindale, Marianna J.  and
      Carpuat, Marine"",
    journal = ""Transactions of the Association for Computational Linguistics"",
    volume = ""11"",
    year = ""2023"",
    address = ""Cambridge, MA"",
    publisher = ""MIT Press"",
    url = ""https://aclanthology.org/2023.tacl-1.32"",
    doi = ""10.1162/tacl_a_00563"",
    pages = ""546--564"",
}
"
"Hong, X., Sayeed, A., Mehra, K., Demberg, V., & Schiele, B. 2023. ""Visual Writing Prompts: Character-Grounded Story Generation with Curated Image Sequences"". Transactions of the Association for Computational Linguistics, 11: 565–581. URL: https://aclanthology.org/2023.tacl-1.33, doi:10.1162/tacl_a_00553.
"|harvard|article|"@article{hong-etal-2023-visual-writing,
    title = ""Visual Writing Prompts: Character-Grounded Story Generation with Curated Image Sequences"",
    author = ""Hong, Xudong  and
      Sayeed, Asad  and
      Mehra, Khushboo  and
      Demberg, Vera  and
      Schiele, Bernt"",
    journal = ""Transactions of the Association for Computational Linguistics"",
    volume = ""11"",
    year = ""2023"",
    address = ""Cambridge, MA"",
    publisher = ""MIT Press"",
    url = ""https://aclanthology.org/2023.tacl-1.33"",
    doi = ""10.1162/tacl_a_00553"",
    pages = ""565--581"",
}
"
"He, H. & Choi, J. D. 2023. ""Unleashing the True Potential of Sequence-to-Sequence Models for Sequence Tagging and Structure Parsing"". Transactions of the Association for Computational Linguistics, 11: 582–599. URL: https://aclanthology.org/2023.tacl-1.34, doi:10.1162/tacl_a_00557.
"|harvard|article|"@article{he-choi-2023-unleashing,
    title = ""Unleashing the True Potential of Sequence-to-Sequence Models for Sequence Tagging and Structure Parsing"",
    author = ""He, Han  and
      Choi, Jinho D."",
    journal = ""Transactions of the Association for Computational Linguistics"",
    volume = ""11"",
    year = ""2023"",
    address = ""Cambridge, MA"",
    publisher = ""MIT Press"",
    url = ""https://aclanthology.org/2023.tacl-1.34"",
    doi = ""10.1162/tacl_a_00557"",
    pages = ""582--599"",
}
"
