BibTeX;Style;Referenzstring
"@Article{Yang2016DissolutionRE,
 author = {Xiao‐dong Yang and Wan-Sen Li and Yanzhu Tian and Cheng-Gong Liu and Da-Hong Gao and Hai-li Ma},
 journal = {Tropical Journal of Pharmaceutical Research},
 pages = {1123-1128},
 title = {Dissolution rate enhancement of repaglinide by solid dispersion},
 volume = {15},
 year = {2016}
}
";plain;"Xiao‐dong Yang, Wan-Sen Li, Yanzhu Tian, Cheng-Gong Liu, Da-Hong Gao, and Hai-li Ma. Dissolution rate enhancement of repaglinide by solid dispersion. Tropical Journal of Pharmaceutical Research, 15:1123-1128, 2016.
"
"@Inproceedings{ジューチネン，ベサ2000LowCW,
 author = {ジューチネン，ベサ},
 title = {Low consistency water - dehydration process of the fiber suspension},
 year = {2000}
}
";plain;"ジューチネン，ベサ. Low consistency water - dehydration process of the fiber suspension. 2000.
"
"@Inproceedings{Ghauch2015IronbasedMS,
 author = {A. Ghauch},
 title = {Iron-based metallic systems: an excellent choice for sustainable water treatment},
 year = {2015}
}
";plain;"A. Ghauch. Iron-based metallic systems: an excellent choice for sustainable water treatment. 2015.
"
"@Inproceedings{Mo2019ResponsesOP,
 author = {W. Mo and Toshiki and Natori and Shu JreNc and Noboru Nrssruuna and Kenji OuesA},
 title = {Responses of Photosynthesis and Water Use to Drought in Two Desert Annuals , Agriophyllum squarrosum and Bassia dasyphylla},
 year = {2019}
}
";plain;"W. Mo, Toshiki, Natori, Shu JreNc, Noboru Nrssruuna, and Kenji OuesA. Responses of Photosynthesis and Water Use to Drought in Two Desert Annuals , Agriophyllum squarrosum and Bassia dasyphylla. 2019.
"
"@Article{Destandau2014SupraRegionalVR,
 author = {François Destandau and A. Rozan and S. Spaeter},
 journal = {Protected Lands Law & Policy eJournal},
 title = {Supra-Regional vs. Regional Regulators in the Water Pollution Mitigation: Optimal Exemption Policies},
 year = {2014}
}
";plain;"François Destandau, A. Rozan, and S. Spaeter. Supra-regional vs. regional regulators in the water pollution mitigation: optimal exemption policies. Protected Lands Law & Policy eJournal, 2014.
"
"@Inproceedings{Roozbahani2010AnIO,
 author = {M. M. Roozbahani},
 title = {An investigation on benthic macro-invertebrates species diversity as bio-indicators of environmental health in Bahrekan Bay},
 year = {2010}
}
";plain;"M. M. Roozbahani. An investigation on benthic macro-invertebrates species diversity as bio-indicators of environmental health in Bahrekan Bay. 2010.
"
"@Article{Aerts1997WatertableCA,
 author = {R. Aerts and F. Ludwig},
 journal = {Soil Biology & Biochemistry},
 pages = {1691-1698},
 title = {Water-table changes and nutritional status affect trace gas emissions from laboratory columns of peatland soils},
 volume = {29},
 year = {1997}
}
";plain;"R. Aerts and F. Ludwig. Water-table changes and nutritional status affect trace gas emissions from laboratory columns of peatland soils. Soil Biology & Biochemistry, 29:1691-1698, 1997.
"
"@Inproceedings{Tiryaki2016YoncadaS,
 author = {İskender Tiryaki},
 pages = {296-304},
 title = {Yoncada (medicago sativa l.) Kuraklık Stresi ve Tolerantlık Mekanizması},
 volume = {19},
 year = {2016}
}
";plain;"İskender Tiryaki. Yoncada (medicago sativa l.) Kuraklık Stresi ve Tolerantlık Mekanizması. 2016.
"
"@Inproceedings{Alexander2013EffectsOD,
 author = {J. B. Alexander},
 title = {Effects of Diluted Ethylene Glycol as A Fruit-Ripening Agent},
 year = {2013}
}
";plain;"J. B. Alexander. Effects of Diluted Ethylene Glycol as A Fruit-Ripening Agent. 2013.
"
"@Inproceedings{Polykarpou2013OptimisationOA,
 author = {Eleftheria M. Polykarpou and V. Dua},
 title = {Optimisation of a Liquid-Liquid Extraction Based Sustainable Water Desalination Process},
 year = {2013}
}
";plain;"Eleftheria M. Polykarpou and V. Dua. Optimisation of a Liquid-Liquid Extraction Based Sustainable Water Desalination Process. 2013.
"
"@Article{Aicher2021ModerateAE,
 author = {Brittany O. Aicher and Jackie M. Zhang and Selen C. Muratoglu and Rebeca Galisteo and Allison L. Arai and V. Gray and B. Lal and D. Strickland and A. Ucuzian},
 booktitle = {American Journal of Physiology. Heart and Circulatory Physiology},
 journal = {American journal of physiology. Heart and circulatory physiology},
 title = {Moderate Aerobic Exercise Prevents Matrix Degradation and Death in a Mouse Model of Aortic Dissection and Aneurysm.},
 year = {2021}
}
";plain;"Brittany O. Aicher, Jackie M. Zhang, Selen C. Muratoglu, Rebeca Galisteo, Allison L. Arai, V. Gray, B. Lal, D. Strickland, and A. Ucuzian. Moderate aerobic exercise prevents matrix degradation and death in a mouse model of aortic dissection and aneurysm. American journal of physiology. Heart and circulatory physiology, 2021.
"
"@Article{Tanis2021MolecularDS,
 author = {I. Tanis and E. Kostarellou and K. Karatasos},
 booktitle = {Physical Chemistry, Chemical Physics - PCCP},
 journal = {Physical chemistry chemical physics : PCCP},
 pages = {
          22874-22884
        },
 title = {Molecular dynamics simulations of hyperbranched poly(ethylene imine)-graphene oxide nanocomposites as dye adsorbents for water purification.},
 volume = {23 40},
 year = {2021}
}
";plain;"I. Tanis, E. Kostarellou, and K. Karatasos. Molecular dynamics simulations of hyperbranched poly(ethylene imine)-graphene oxide nanocomposites as dye adsorbents for water purification. Physical chemistry chemical physics : PCCP, 23 40:22874-22884, 2021.
"
"@Article{Inyim2012ALP,
 author = {N. Inyim and W. Liengcharernsit},
 journal = {Lowland technology international : the official journal of the International Association of Lowland Technology},
 pages = {38-49},
 title = {A LINEAR PROGRAMMIMG MODEL FOR TIDAL RIVER WATER QUALITY MANAGEMENT},
 volume = {14},
 year = {2012}
}
";plain;"N. Inyim and W. Liengcharernsit. A linear programmimg model for tidal river water quality management. Lowland technology international : the official journal of the International Association of Lowland Technology, 14:38-49, 2012.
"
"@Inproceedings{None,
 title = {The Feasibility and Potential Payoff for Rusearch on Water Buffaloes Prepared},
 year = {2010}
}
";plain;"The Feasibility and Potential Payoff for Rusearch on Water Buffaloes Prepared. 2010.
"
"@Article{Kim2023EvaluationOA,
 author = {S. Kim and Seunghon Ham},
 booktitle = {Fire},
 journal = {Fire},
 title = {Evaluation of Air Quality inside Self-Contained Breathing Apparatus Used by Firefighters},
 year = {2023}
}
";plain;"S. Kim and Seunghon Ham. Evaluation of air quality inside self-contained breathing apparatus used by firefighters. Fire, 2023.
"
"@Article{Zhi-bin2006PreparationOC,
 author = {Z. Zhi-bin},
 journal = {China Concrete and Cement Products},
 title = {Preparation of Comb-like Polycarboxylic Superplasticizer and Its Dispersing Ability},
 year = {2006}
}
";plain;"Z. Zhi-bin. Preparation of comb-like polycarboxylic superplasticizer and its dispersing ability. China Concrete and Cement Products, 2006.
"
"@Article{Witelski1998HorizontalII,
 author = {Thomas P. Witelski},
 journal = {Water Resources Research},
 pages = {1859 - 1863},
 title = {Horizontal infiltration into wet soil},
 volume = {34},
 year = {1998}
}
";plain;"Thomas P. Witelski. Horizontal infiltration into wet soil. Water Resources Research, 34:1859 - 1863, 1998.
"
"@Article{Ahmad1988TrendsAR,
 author = {S. Ahmad},
 booktitle = {Rural demography},
 journal = {Rural demography},
 pages = {
          27-39
        },
 title = {Trends and regional differentials in mortality in Bangladesh.},
 volume = {15 1-2},
 year = {1988}
}
";plain;"S. Ahmad. Trends and regional differentials in mortality in bangladesh. Rural demography, 15 1-2:27-39, 1988.
"
"@Article{Friedrich2017AssessmentOD,
 author = {M. Friedrich and Magdalena Junak},
 booktitle = {Roczniki Panstwowego Zakladu Higieny},
 journal = {Roczniki Panstwowego Zakladu Higieny},
 pages = {
          69-76
        },
 title = {Assessment of dietary choices of young women in the contexts of hormonal contraceptives},
 volume = {68 1},
 year = {2017}
}
";plain;"M. Friedrich and Magdalena Junak. Assessment of dietary choices of young women in the contexts of hormonal contraceptives. Roczniki Panstwowego Zakladu Higieny, 68 1:69-76, 2017.
"
"@Article{Bar-Ness2004ManureAP,
 author = {E. Bar-Ness and Y. Chen},
 booktitle = {Plant and Soil},
 journal = {Plant and Soil},
 pages = {45-50},
 title = {Manure and peat based iron-organo complexes},
 volume = {130},
 year = {2004}
}
";plain;"E. Bar-Ness and Y. Chen. Manure and peat based iron-organo complexes. Plant and Soil, 130:45-50, 2004.
"
"@Article{Jaiswal2006AcquisitionRP,
 author = {A. K. Jaiswal},
 journal = {Journal of Optics},
 pages = {74-77},
 title = {Acquisition Range Prediction for Thermal Imagers Using an Intrinsic Parameter Characterised by Ambient Temperature and RH},
 volume = {35},
 year = {2006}
}
";plain;"A. K. Jaiswal. Acquisition range prediction for thermal imagers using an intrinsic parameter characterised by ambient temperature and rh. Journal of Optics, 35:74-77, 2006.
"
"@Article{Saedi2021EffectOE,
 author = {T. Saedi and M. Mosaddeghi and M. Sabzalian and M. Zarebanadkouki},
 booktitle = {Plant and Soil},
 journal = {Plant and Soil},
 pages = {353 - 373},
 title = {Effect of Epichloë fungal endophyte symbiosis on tall fescue to cope with flooding-derived oxygen-limited conditions depends on the host genotype},
 volume = {468},
 year = {2021}
}
";plain;"T. Saedi, M. Mosaddeghi, M. Sabzalian, and M. Zarebanadkouki. Effect of epichloë fungal endophyte symbiosis on tall fescue to cope with flooding-derived oxygen-limited conditions depends on the host genotype. Plant and Soil, 468:353 - 373, 2021.
"
"@Article{Carvalho2021FirstTO,
 author = {Carlos Neto de Carvalho and Zain Belaústegui and A. Toscano and F. Muñiz and J. Belo and J. Galán and P. Gómez and L. Cáceres and J. Rodríguez-Vidal and P. P. Cunha and M. Cachão and F. Ruiz and Samuel Ramírez-Cruzado and Francisco Giles-Guzmán and G. Finlayson and S. Finlayson and C. Finlayson},
 booktitle = {Scientific Reports},
 journal = {Scientific Reports},
 title = {First tracks of newborn straight-tusked elephants (Palaeoloxodon antiquus)},
 volume = {11},
 year = {2021}
}
";plain;"Carlos Neto de Carvalho, Zain Belaústegui, A. Toscano, F. Muñiz, J. Belo, J. Galán, P. Gómez, L. Cáceres, J. Rodríguez-Vidal, P. P. Cunha, M. Cachão, F. Ruiz, Samuel Ramírez-Cruzado, Francisco Giles-Guzmán, G. Finlayson, S. Finlayson, and C. Finlayson. First tracks of newborn straight-tusked elephants (palaeoloxodon antiquus). Scientific Reports, 2021.
"
"@Article{Anda2021EvapotranspirationAY,
 author = {A. Anda and László Menyhárt and Brigitta Simon},
 booktitle = {Idojaras - Quarterly journal of the Hungarian Meteorological Service},
 journal = {Időjárás},
 title = {Evapotranspiration and yield components of soybean},
 year = {2021}
}
";plain;"A. Anda, László Menyhárt, and Brigitta Simon. Evapotranspiration and yield components of soybean. Időjárás, 2021.
"
"@Article{Grigorenko2019MechanismsOA,
 author = {B. Grigorenko and I. Polyakov and A. Nemukhin},
 booktitle = {Journal of Physical Chemistry B},
 journal = {The journal of physical chemistry. B},
 title = {Mechanisms of ATP to cAMP Conversion Catalyzed by the Mammalian Adenylyl Cyclase: A Role of Magnesium Coordination Shells and Proton Wires.},
 year = {2019}
}
";plain;"B. Grigorenko, I. Polyakov, and A. Nemukhin. Mechanisms of atp to camp conversion catalyzed by the mammalian adenylyl cyclase: a role of magnesium coordination shells and proton wires. The journal of physical chemistry. B, 2019.
"
"@Article{Kisten2015ElementalDA,
 author = {Kimona Kisten and D. Gounden and R. Moodley and S. Jonnalagadda},
 booktitle = {Journal of Environmental Science and Health. Part B - Pesticides, Food Contaminants, and Agricultural Wastes},
 journal = {Journal of Environmental Science and Health, Part B},
 pages = {439 - 447},
 title = {Elemental distribution and uptake by watercress (Nasturtium aquaticum) as a function of water quality},
 volume = {50},
 year = {2015}
}
";plain;"Kimona Kisten, D. Gounden, R. Moodley, and S. Jonnalagadda. Elemental distribution and uptake by watercress (nasturtium aquaticum) as a function of water quality. Journal of Environmental Science and Health, Part B, 50:439 - 447, 2015.
"
"@Inproceedings{Wurochekke2014SustainableFM,
 author = {A. Wurochekke},
 title = {Sustainable Filter Media for Physiochemical Treatment of Greywater in Single Village House},
 year = {2014}
}
";plain;"A. Wurochekke. Sustainable Filter Media for Physiochemical Treatment of Greywater in Single Village House. 2014.
"
"@Inproceedings{Klein2018ClimateIO,
 author = {A. Klein and Vikram Widge and Aditi Maheshwari and Ayesha Malik},
 pages = {1-176},
 title = {Climate Investment Opportunities in Cities : An IFC Analysis},
 year = {2018}
}
";plain;"A. Klein, Vikram Widge, Aditi Maheshwari, and Ayesha Malik. Climate Investment Opportunities in Cities : An IFC Analysis. 2018.
"
"@Article{Dayton1995OutgassingRO,
 author = {B. Dayton},
 journal = {Journal of Vacuum Science and Technology},
 pages = {451-461},
 title = {Outgassing rate of preconditioned vacuum systems after short exposure to the atmosphere: Outgassing rate measurements on Viton‐A and copper},
 volume = {13},
 year = {1995}
}
";plain;"B. Dayton. Outgassing rate of preconditioned vacuum systems after short exposure to the atmosphere: outgassing rate measurements on viton‐a and copper. Journal of Vacuum Science and Technology, 13:451-461, 1995.
"
"@Article{Lee2012ObstacleRA,
 author = {Donghyuk Lee and Hyun-Woo Kim and Jangmyung Lee},
 journal = {Journal of Institute of Control Robotics and Systems},
 pages = {928-933},
 title = {Obstacle Recognition and Avoidance of the Bio-mimetic Underwater Robot using IR and Compass Senso},
 volume = {18},
 year = {2012}
}
";plain;"Donghyuk Lee, Hyun-Woo Kim, and Jangmyung Lee. Obstacle recognition and avoidance of the bio-mimetic underwater robot using ir and compass senso. Journal of Institute of Control Robotics and Systems, 18:928-933, 2012.
"
"@Article{Koopmans2016WaterMW,
 author = {Rachel Koopmans},
 journal = {Journal of Medieval History},
 pages = {535 - 558},
 title = {‘Water mixed with the blood of Thomas’: contact relic manufacture pictured in Canterbury Cathedral’s stained glass},
 volume = {42},
 year = {2016}
}
";plain;"Rachel Koopmans. ‘water mixed with the blood of thomas’: contact relic manufacture pictured in canterbury cathedral’s stained glass. Journal of Medieval History, 42:535 - 558, 2016.
"
"@Inproceedings{Wei-dong2001OnTS,
 author = {Wang Wei-dong},
 title = {On the Structure of The Waste Land},
 year = {2001}
}
";plain;"Wang Wei-dong. On the Structure of The Waste Land. 2001.
"
"@Article{Jusoff1991EffectOC,
 author = {K. Jusoff},
 booktitle = {New forests},
 journal = {New Forests},
 pages = {61-66},
 title = {Effect of compaction of soils on growth of Acacia mangium Willd. under glasshouse conditions},
 volume = {5},
 year = {1991}
}
";plain;"K. Jusoff. Effect of compaction of soils on growth of acacia mangium willd. under glasshouse conditions. New Forests, 5:61-66, 1991.
"
"@Article{Rawat2023UnveilingTH,
 author = {Arvind Singh Rawat and M. Semwal},
 booktitle = {Journal of Mountain Research},
 journal = {Journal of Mountain Research},
 title = {Unveiling the Himalayan Nexus: Unraveling Anthropogenic Triggers and Pursuing
Sustainable Development in Uttarakhand},
 year = {2023}
}
";plain;"Arvind Singh Rawat and M. Semwal. Unveiling the himalayan nexus: unraveling anthropogenic triggers and pursuing sustainable development in uttarakhand. Journal of Mountain Research, 2023.
"
"@Article{Smith1930SomeRC,
 author = {Frank Smith},
 booktitle = {Canadian field-naturalist},
 journal = {The Canadian field-naturalist},
 title = {Some Recent Collections of Canadian Fresh-Water Sponges},
 year = {1930}
}
";plain;"Frank Smith. Some recent collections of canadian fresh-water sponges. The Canadian field-naturalist, 1930.
"
"@Article{Petus2014UsingMD,
 author = {C. Petus and E. D. da Silva and M. Devlin and A. Wenger and J. Álvarez-Romero},
 booktitle = {Journal of Environmental Management},
 journal = {Journal of environmental management},
 pages = {
          163-77
        },
 title = {Using MODIS data for mapping of water types within river plumes in the Great Barrier Reef, Australia: towards the production of river plume risk maps for reef and seagrass ecosystems.},
 volume = {137},
 year = {2014}
}
";plain;"C. Petus, E. D. da Silva, M. Devlin, A. Wenger, and J. Álvarez-Romero. Using modis data for mapping of water types within river plumes in the great barrier reef, australia: towards the production of river plume risk maps for reef and seagrass ecosystems. Journal of environmental management, 137:163-77, 2014.
"
"@Article{Osinka2012MercuryIM,
 author = {Anna Osinka and K. Pasternak},
 journal = {Journal of Elementology},
 pages = {289-297},
 title = {Mercury in medicine and health service},
 volume = {19},
 year = {2012}
}
";plain;"Anna Osinka and K. Pasternak. Mercury in medicine and health service. Journal of Elementology, 19:289-297, 2012.
"
"@Article{Lannung1960TheSO,
 author = {A. Lannung and J. C. Gjaldbæk and S. Rundqvist and E. Varde and G. Westin},
 journal = {Acta Chemica Scandinavica},
 pages = {1124-1128},
 title = {The Solubility of Methane in Hydrocarbons, Alcohols, Water, and Other Solvents.},
 volume = {14},
 year = {1960}
}
";plain;"A. Lannung, J. C. Gjaldbæk, S. Rundqvist, E. Varde, and G. Westin. The solubility of methane in hydrocarbons, alcohols, water, and other solvents. Acta Chemica Scandinavica, 14:1124-1128, 1960.
"
"@Article{Yan2023InternationalOS,
 author = {Lingxiao Yan},
 booktitle = {Nature Climate Change},
 journal = {Nature Climate Change},
 pages = {1020},
 title = {International organizations’ staff},
 volume = {13},
 year = {2023}
}
";plain;"Lingxiao Yan. International organizations’ staff. Nature Climate Change, 13:1020, 2023.
"
"@Article{Rother2002ComparisonOC,
 author = {E. Rother and P. Cornel and A. Ante and P. Kleinert and R. Brambach},
 booktitle = {Water Science and Technology},
 journal = {Water science and technology : a journal of the International Association on Water Pollution Research},
 pages = {
          149-56
        },
 title = {Comparison of combined and separated biological aerated filter (BAF) performance for pre-denitrification/nitrification of municipal wastewater.},
 volume = {46 4-5},
 year = {2002}
}
";plain;"E. Rother, P. Cornel, A. Ante, P. Kleinert, and R. Brambach. Comparison of combined and separated biological aerated filter (baf) performance for pre-denitrification/nitrification of municipal wastewater. Water science and technology : a journal of the International Association on Water Pollution Research, 46 4-5:149-56, 2002.
"
"@Inproceedings{김승현2003ASO,
 author = {김승현 and 공인철 and 성치돈 and 이용훈 and 안규홍},
 title = {A study on the water quality improvement through riverbed filtration-model analysis and model verification},
 year = {2003}
}
";plain;"김승현, 공인철, 성치돈, 이용훈, and 안규홍. A study on the water quality improvement through riverbed filtration-model analysis and model verification. 2003.
"
"@Article{Svenningsson1986MembraneLC,
 author = {Helen Svenningsson and C. Liljenberg},
 journal = {Physiologia Plantarum},
 pages = {53-58},
 title = {Membrane lipid changes in root cells of rape (Brassica napus) as a function of water‐deficit stress},
 volume = {68},
 year = {1986}
}
";plain;"Helen Svenningsson and C. Liljenberg. Membrane lipid changes in root cells of rape (brassica napus) as a function of water‐deficit stress. Physiologia Plantarum, 68:53-58, 1986.
"
"@Article{Tian-hou2010PopulationDO,
 author = {Wang Tian-hou},
 journal = {Acta Ecologica Sinica},
 title = {Population dynamics of hen harrier Circus cyaneus in overwintering area of Southeast China},
 year = {2010}
}
";plain;"Wang Tian-hou. Population dynamics of hen harrier circus cyaneus in overwintering area of southeast china. Acta Ecologica Sinica, 2010.
"
"@Article{Lu2002SuperquenchingIC,
 author = {Liangde Lu and R. Helgeson and Robert M. Jones and D. Mcbranch and D. Whitten},
 booktitle = {Journal of the American Chemical Society},
 journal = {Journal of the American Chemical Society},
 pages = {
          483-8
        },
 title = {Superquenching in cyanine pendant poly(L-lysine) dyes: dependence on molecular weight, solvent, and aggregation.},
 volume = {124 3},
 year = {2002}
}
";plain;"Liangde Lu, R. Helgeson, Robert M. Jones, D. Mcbranch, and D. Whitten. Superquenching in cyanine pendant poly(l-lysine) dyes: dependence on molecular weight, solvent, and aggregation. Journal of the American Chemical Society, 124 3:483-8, 2002.
"
