Referenzstring|Style|Literaturtyp|BibTeX
"Badaro, Gilbert, Saeed, Mohammed, and Papotti, Paolo. ""Transformers for tabular data representation: a survey of models and applications."" Transactions of the Association for Computational Linguistics (2023): 227–249. URL: https://aclanthology.org/2023.tacl-1.14, doi:10.1162/tacl_a_00544
"|mla|article|"@article{badaro-etal-2023-transformers,
    title = ""Transformers for Tabular Data Representation: A Survey of Models and Applications"",
    author = ""Badaro, Gilbert  and
      Saeed, Mohammed  and
      Papotti, Paolo"",
    journal = ""Transactions of the Association for Computational Linguistics"",
    volume = ""11"",
    year = ""2023"",
    address = ""Cambridge, MA"",
    publisher = ""MIT Press"",
    url = ""https://aclanthology.org/2023.tacl-1.14"",
    doi = ""10.1162/tacl_a_00544"",
    pages = ""227--249"",
}
"
"Nguyen, Tu Anh, Kharitonov, Eugene, Copet, Jade, Adi, Yossi, Hsu, Wei-Ning, Elkahky, Ali, Tomasello, Paden, Algayres, Robin, Sagot, Benoît, Mohamed, Abdelrahman, and Dupoux, Emmanuel. ""Generative spoken dialogue language modeling."" Transactions of the Association for Computational Linguistics (2023): 250–266. URL: https://aclanthology.org/2023.tacl-1.15, doi:10.1162/tacl_a_00545
"|mla|article|"@article{nguyen-etal-2023-generative,
    title = ""Generative Spoken Dialogue Language Modeling"",
    author = ""Nguyen, Tu Anh  and
      Kharitonov, Eugene  and
      Copet, Jade  and
      Adi, Yossi  and
      Hsu, Wei-Ning  and
      Elkahky, Ali  and
      Tomasello, Paden  and
      Algayres, Robin  and
      Sagot, Beno{\^\i}t  and
      Mohamed, Abdelrahman  and
      Dupoux, Emmanuel"",
    journal = ""Transactions of the Association for Computational Linguistics"",
    volume = ""11"",
    year = ""2023"",
    address = ""Cambridge, MA"",
    publisher = ""MIT Press"",
    url = ""https://aclanthology.org/2023.tacl-1.15"",
    doi = ""10.1162/tacl_a_00545"",
    pages = ""250--266"",
}
"
"Chen, Zhousi, and Komachi, Mamoru. ""Discontinuous combinatory constituency parsing."" Transactions of the Association for Computational Linguistics (2023): 267–283. URL: https://aclanthology.org/2023.tacl-1.16, doi:10.1162/tacl_a_00546
"|mla|article|"@article{chen-komachi-2023-discontinuous,
    title = ""Discontinuous Combinatory Constituency Parsing"",
    author = ""Chen, Zhousi  and
      Komachi, Mamoru"",
    journal = ""Transactions of the Association for Computational Linguistics"",
    volume = ""11"",
    year = ""2023"",
    address = ""Cambridge, MA"",
    publisher = ""MIT Press"",
    url = ""https://aclanthology.org/2023.tacl-1.16"",
    doi = ""10.1162/tacl_a_00546"",
    pages = ""267--283"",
}
"
"Ivgi, Maor, Shaham, Uri, and Berant, Jonathan. ""Efficient long-text understanding with short-text models."" Transactions of the Association for Computational Linguistics (2023): 284–299. URL: https://aclanthology.org/2023.tacl-1.17, doi:10.1162/tacl_a_00547
"|mla|article|"@article{ivgi-etal-2023-efficient,
    title = ""Efficient Long-Text Understanding with Short-Text Models"",
    author = ""Ivgi, Maor  and
      Shaham, Uri  and
      Berant, Jonathan"",
    journal = ""Transactions of the Association for Computational Linguistics"",
    volume = ""11"",
    year = ""2023"",
    address = ""Cambridge, MA"",
    publisher = ""MIT Press"",
    url = ""https://aclanthology.org/2023.tacl-1.17"",
    doi = ""10.1162/tacl_a_00547"",
    pages = ""284--299"",
}
"
"Davani, Aida Mostafazadeh, Atari, Mohammad, Kennedy, Brendan, and Dehghani, Morteza. ""Hate speech classifiers learn normative social stereotypes."" Transactions of the Association for Computational Linguistics (2023): 300–319. URL: https://aclanthology.org/2023.tacl-1.18, doi:10.1162/tacl_a_00550
"|mla|article|"@article{davani-etal-2023-hate,
    title = ""Hate Speech Classifiers Learn Normative Social Stereotypes"",
    author = ""Davani, Aida Mostafazadeh  and
      Atari, Mohammad  and
      Kennedy, Brendan  and
      Dehghani, Morteza"",
    journal = ""Transactions of the Association for Computational Linguistics"",
    volume = ""11"",
    year = ""2023"",
    address = ""Cambridge, MA"",
    publisher = ""MIT Press"",
    url = ""https://aclanthology.org/2023.tacl-1.18"",
    doi = ""10.1162/tacl_a_00550"",
    pages = ""300--319"",
}
"
"Lassner, David, Brandl, Stephanie, Baillot, Anne, and Nakajima, Shinichi. ""Domain-specific word embeddings with structure prediction."" Transactions of the Association for Computational Linguistics (2023): 320–335. URL: https://aclanthology.org/2023.tacl-1.19, doi:10.1162/tacl_a_00538
"|mla|article|"@article{lassner-etal-2023-domain,
    title = ""Domain-Specific Word Embeddings with Structure Prediction"",
    author = ""Lassner, David  and
      Brandl, Stephanie  and
      Baillot, Anne  and
      Nakajima, Shinichi"",
    journal = ""Transactions of the Association for Computational Linguistics"",
    volume = ""11"",
    year = ""2023"",
    address = ""Cambridge, MA"",
    publisher = ""MIT Press"",
    url = ""https://aclanthology.org/2023.tacl-1.19"",
    doi = ""10.1162/tacl_a_00538"",
    pages = ""320--335"",
}
"
"Oh, Byung-Doh, and Schuler, William. ""Why does surprisal from larger transformer-based language models provide a poorer fit to human reading times?"" Transactions of the Association for Computational Linguistics (2023): 336–350. URL: https://aclanthology.org/2023.tacl-1.20, doi:10.1162/tacl_a_00548
"|mla|article|"@article{oh-schuler-2023-surprisal,
    title = ""Why Does Surprisal From Larger Transformer-Based Language Models Provide a Poorer Fit to Human Reading Times?"",
    author = ""Oh, Byung-Doh  and
      Schuler, William"",
    journal = ""Transactions of the Association for Computational Linguistics"",
    volume = ""11"",
    year = ""2023"",
    address = ""Cambridge, MA"",
    publisher = ""MIT Press"",
    url = ""https://aclanthology.org/2023.tacl-1.20"",
    doi = ""10.1162/tacl_a_00548"",
    pages = ""336--350"",
}
"
"Gekhman, Zorik, Oved, Nadav, Keller, Orgad, Szpektor, Idan, and Reichart, Roi. ""On the robustness of dialogue history representation in conversational question answering: a comprehensive study and a new prompt-based method."" Transactions of the Association for Computational Linguistics (2023): 351–366. URL: https://aclanthology.org/2023.tacl-1.21, doi:10.1162/tacl_a_00549
"|mla|article|"@article{gekhman-etal-2023-robustness,
    title = ""On the Robustness of Dialogue History Representation in Conversational Question Answering: A Comprehensive Study and a New Prompt-based Method"",
    author = ""Gekhman, Zorik  and
      Oved, Nadav  and
      Keller, Orgad  and
      Szpektor, Idan  and
      Reichart, Roi"",
    journal = ""Transactions of the Association for Computational Linguistics"",
    volume = ""11"",
    year = ""2023"",
    address = ""Cambridge, MA"",
    publisher = ""MIT Press"",
    url = ""https://aclanthology.org/2023.tacl-1.21"",
    doi = ""10.1162/tacl_a_00549"",
    pages = ""351--366"",
}
"
"Niu, Yilin, Huang, Fei, Liu, Wei, Cui, Jianwei, Wang, Bin, and Huang, Minlie. ""Bridging the gap between synthetic and natural questions via sentence decomposition for semantic parsing."" Transactions of the Association for Computational Linguistics (2023): 367–383. URL: https://aclanthology.org/2023.tacl-1.22, doi:10.1162/tacl_a_00552
"|mla|article|"@article{niu-etal-2023-bridging,
    title = ""Bridging the Gap between Synthetic and Natural Questions via Sentence Decomposition for Semantic Parsing"",
    author = ""Niu, Yilin  and
      Huang, Fei  and
      Liu, Wei  and
      Cui, Jianwei  and
      Wang, Bin  and
      Huang, Minlie"",
    journal = ""Transactions of the Association for Computational Linguistics"",
    volume = ""11"",
    year = ""2023"",
    address = ""Cambridge, MA"",
    publisher = ""MIT Press"",
    url = ""https://aclanthology.org/2023.tacl-1.22"",
    doi = ""10.1162/tacl_a_00552"",
    pages = ""367--383"",
}
"
"Amini, Afra, Pimentel, Tiago, Meister, Clara, and Cotterell, Ryan. ""Naturalistic causal probing for morpho-syntax."" Transactions of the Association for Computational Linguistics (2023): 384–403. URL: https://aclanthology.org/2023.tacl-1.23, doi:10.1162/tacl_a_00554
"|mla|article|"@article{amini-etal-2023-naturalistic,
    title = ""Naturalistic Causal Probing for Morpho-Syntax"",
    author = ""Amini, Afra  and
      Pimentel, Tiago  and
      Meister, Clara  and
      Cotterell, Ryan"",
    journal = ""Transactions of the Association for Computational Linguistics"",
    volume = ""11"",
    year = ""2023"",
    address = ""Cambridge, MA"",
    publisher = ""MIT Press"",
    url = ""https://aclanthology.org/2023.tacl-1.23"",
    doi = ""10.1162/tacl_a_00554"",
    pages = ""384--403"",
}
"
"Zhao, Runcong, Gui, Lin, Yan, Hanqi, and He, Yulan. ""Tracking brand-associated polarity-bearing topics in user reviews."" Transactions of the Association for Computational Linguistics (2023): 404–418. URL: https://aclanthology.org/2023.tacl-1.24, doi:10.1162/tacl_a_00555
"|mla|article|"@article{zhao-etal-2023-tracking,
    title = ""Tracking Brand-Associated Polarity-Bearing Topics in User Reviews"",
    author = ""Zhao, Runcong  and
      Gui, Lin  and
      Yan, Hanqi  and
      He, Yulan"",
    journal = ""Transactions of the Association for Computational Linguistics"",
    volume = ""11"",
    year = ""2023"",
    address = ""Cambridge, MA"",
    publisher = ""MIT Press"",
    url = ""https://aclanthology.org/2023.tacl-1.24"",
    doi = ""10.1162/tacl_a_00555"",
    pages = ""404--418"",
}
"
"Brannon, William, Virkar, Yogesh, and Thompson, Brian. ""Dubbing in practice: a large scale study of human localization with insights for automatic dubbing."" Transactions of the Association for Computational Linguistics (2023): 419–435. URL: https://aclanthology.org/2023.tacl-1.25, doi:10.1162/tacl_a_00551
"|mla|article|"@article{brannon-etal-2023-dubbing,
    title = ""Dubbing in Practice: A Large Scale Study of Human Localization With Insights for Automatic Dubbing"",
    author = ""Brannon, William  and
      Virkar, Yogesh  and
      Thompson, Brian"",
    journal = ""Transactions of the Association for Computational Linguistics"",
    volume = ""11"",
    year = ""2023"",
    address = ""Cambridge, MA"",
    publisher = ""MIT Press"",
    url = ""https://aclanthology.org/2023.tacl-1.25"",
    doi = ""10.1162/tacl_a_00551"",
    pages = ""419--435"",
}
"
"Lin, Sheng-Chieh, Li, Minghan, and Lin, Jimmy. ""Aggretriever: a simple approach to aggregate textual representations for robust dense passage retrieval."" Transactions of the Association for Computational Linguistics (2023): 436–452. URL: https://aclanthology.org/2023.tacl-1.26, doi:10.1162/tacl_a_00556
"|mla|article|"@article{lin-etal-2023-aggretriever,
    title = ""Aggretriever: A Simple Approach to Aggregate Textual Representations for Robust Dense Passage Retrieval"",
    author = ""Lin, Sheng-Chieh  and
      Li, Minghan  and
      Lin, Jimmy"",
    journal = ""Transactions of the Association for Computational Linguistics"",
    volume = ""11"",
    year = ""2023"",
    address = ""Cambridge, MA"",
    publisher = ""MIT Press"",
    url = ""https://aclanthology.org/2023.tacl-1.26"",
    doi = ""10.1162/tacl_a_00556"",
    pages = ""436--452"",
}
"
"Wu, Zeqiu, Parish, Ryu, Cheng, Hao, Min, Sewon, Ammanabrolu, Prithviraj, Ostendorf, Mari, and Hajishirzi, Hannaneh. ""InSCIt: information-seeking conversations with mixed-initiative interactions."" Transactions of the Association for Computational Linguistics (2023): 453–468. URL: https://aclanthology.org/2023.tacl-1.27, doi:10.1162/tacl_a_00559
"|mla|article|"@article{wu-etal-2023-inscit,
    title = ""{I}n{SCI}t: Information-Seeking Conversations with Mixed-Initiative Interactions"",
    author = ""Wu, Zeqiu  and
      Parish, Ryu  and
      Cheng, Hao  and
      Min, Sewon  and
      Ammanabrolu, Prithviraj  and
      Ostendorf, Mari  and
      Hajishirzi, Hannaneh"",
    journal = ""Transactions of the Association for Computational Linguistics"",
    volume = ""11"",
    year = ""2023"",
    address = ""Cambridge, MA"",
    publisher = ""MIT Press"",
    url = ""https://aclanthology.org/2023.tacl-1.27"",
    doi = ""10.1162/tacl_a_00559"",
    pages = ""453--468"",
}
"
"Si, Chenglei, Zhang, Zhengyan, Chen, Yingfa, Qi, Fanchao, Wang, Xiaozhi, Liu, Zhiyuan, Wang, Yasheng, Liu, Qun, and Sun, Maosong. ""Sub-character tokenization for Chinese pretrained language models."" Transactions of the Association for Computational Linguistics (2023): 469–487. URL: https://aclanthology.org/2023.tacl-1.28, doi:10.1162/tacl_a_00560
"|mla|article|"@article{si-etal-2023-sub,
    title = ""Sub-Character Tokenization for {C}hinese Pretrained Language Models"",
    author = ""Si, Chenglei  and
      Zhang, Zhengyan  and
      Chen, Yingfa  and
      Qi, Fanchao  and
      Wang, Xiaozhi  and
      Liu, Zhiyuan  and
      Wang, Yasheng  and
      Liu, Qun  and
      Sun, Maosong"",
    journal = ""Transactions of the Association for Computational Linguistics"",
    volume = ""11"",
    year = ""2023"",
    address = ""Cambridge, MA"",
    publisher = ""MIT Press"",
    url = ""https://aclanthology.org/2023.tacl-1.28"",
    doi = ""10.1162/tacl_a_00560"",
    pages = ""469--487"",
}
"
"Shao, Shun, Ziser, Yftah, and Cohen, Shay B. ""Erasure of unaligned attributes from neural representations."" Transactions of the Association for Computational Linguistics (2023): 488–510. URL: https://aclanthology.org/2023.tacl-1.29, doi:10.1162/tacl_a_00558
"|mla|article|"@article{shao-etal-2023-erasure,
    title = ""Erasure of Unaligned Attributes from Neural Representations"",
    author = ""Shao, Shun  and
      Ziser, Yftah  and
      Cohen, Shay B."",
    journal = ""Transactions of the Association for Computational Linguistics"",
    volume = ""11"",
    year = ""2023"",
    address = ""Cambridge, MA"",
    publisher = ""MIT Press"",
    url = ""https://aclanthology.org/2023.tacl-1.29"",
    doi = ""10.1162/tacl_a_00558"",
    pages = ""488--510"",
}
"
"Feng, Tao, Qu, Lizhen, and Haffari, Gholamreza. ""Less is more: mitigate spurious correlations for open-domain dialogue response generation models by causal discovery."" Transactions of the Association for Computational Linguistics (2023): 511–530. URL: https://aclanthology.org/2023.tacl-1.30, doi:10.1162/tacl_a_00561
"|mla|article|"@article{feng-etal-2023-less,
    title = ""Less is More: Mitigate Spurious Correlations for Open-Domain Dialogue Response Generation Models by Causal Discovery"",
    author = ""Feng, Tao  and
      Qu, Lizhen  and
      Haffari, Gholamreza"",
    journal = ""Transactions of the Association for Computational Linguistics"",
    volume = ""11"",
    year = ""2023"",
    address = ""Cambridge, MA"",
    publisher = ""MIT Press"",
    url = ""https://aclanthology.org/2023.tacl-1.30"",
    doi = ""10.1162/tacl_a_00561"",
    pages = ""511--530"",
}
"
"Merrill, William, and Sabharwal, Ashish. ""The parallelism tradeoff: limitations of log-precision transformers."" Transactions of the Association for Computational Linguistics (2023): 531–545. URL: https://aclanthology.org/2023.tacl-1.31, doi:10.1162/tacl_a_00562
"|mla|article|"@article{merrill-sabharwal-2023-parallelism,
    title = ""The Parallelism Tradeoff: Limitations of Log-Precision Transformers"",
    author = ""Merrill, William  and
      Sabharwal, Ashish"",
    journal = ""Transactions of the Association for Computational Linguistics"",
    volume = ""11"",
    year = ""2023"",
    address = ""Cambridge, MA"",
    publisher = ""MIT Press"",
    url = ""https://aclanthology.org/2023.tacl-1.31"",
    doi = ""10.1162/tacl_a_00562"",
    pages = ""531--545"",
}
"
"Xu, Weijia, Agrawal, Sweta, Briakou, Eleftheria, Martindale, Marianna J., and Carpuat, Marine. ""Understanding and detecting hallucinations in neural machine translation via model introspection."" Transactions of the Association for Computational Linguistics (2023): 546–564. URL: https://aclanthology.org/2023.tacl-1.32, doi:10.1162/tacl_a_00563
"|mla|article|"@article{xu-etal-2023-understanding,
    title = ""Understanding and Detecting Hallucinations in Neural Machine Translation via Model Introspection"",
    author = ""Xu, Weijia  and
      Agrawal, Sweta  and
      Briakou, Eleftheria  and
      Martindale, Marianna J.  and
      Carpuat, Marine"",
    journal = ""Transactions of the Association for Computational Linguistics"",
    volume = ""11"",
    year = ""2023"",
    address = ""Cambridge, MA"",
    publisher = ""MIT Press"",
    url = ""https://aclanthology.org/2023.tacl-1.32"",
    doi = ""10.1162/tacl_a_00563"",
    pages = ""546--564"",
}
"
"Hong, Xudong, Sayeed, Asad, Mehra, Khushboo, Demberg, Vera, and Schiele, Bernt. ""Visual writing prompts: character-grounded story generation with curated image sequences."" Transactions of the Association for Computational Linguistics (2023): 565–581. URL: https://aclanthology.org/2023.tacl-1.33, doi:10.1162/tacl_a_00553
"|mla|article|"@article{hong-etal-2023-visual-writing,
    title = ""Visual Writing Prompts: Character-Grounded Story Generation with Curated Image Sequences"",
    author = ""Hong, Xudong  and
      Sayeed, Asad  and
      Mehra, Khushboo  and
      Demberg, Vera  and
      Schiele, Bernt"",
    journal = ""Transactions of the Association for Computational Linguistics"",
    volume = ""11"",
    year = ""2023"",
    address = ""Cambridge, MA"",
    publisher = ""MIT Press"",
    url = ""https://aclanthology.org/2023.tacl-1.33"",
    doi = ""10.1162/tacl_a_00553"",
    pages = ""565--581"",
}
"
"He, Han, and Choi, Jinho D. ""Unleashing the true potential of sequence-to-sequence models for sequence tagging and structure parsing."" Transactions of the Association for Computational Linguistics (2023): 582–599. URL: https://aclanthology.org/2023.tacl-1.34, doi:10.1162/tacl_a_00557
"|mla|article|"@article{he-choi-2023-unleashing,
    title = ""Unleashing the True Potential of Sequence-to-Sequence Models for Sequence Tagging and Structure Parsing"",
    author = ""He, Han  and
      Choi, Jinho D."",
    journal = ""Transactions of the Association for Computational Linguistics"",
    volume = ""11"",
    year = ""2023"",
    address = ""Cambridge, MA"",
    publisher = ""MIT Press"",
    url = ""https://aclanthology.org/2023.tacl-1.34"",
    doi = ""10.1162/tacl_a_00557"",
    pages = ""582--599"",
}
"
